id,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
41,3.7174,27.0,5.674285714285714,1.062857142857143,2336.0,2.8172857142857146,37.68,-121.91,2.132
42,1.4007,35.0,2.803339517625232,1.1001390820584145,1544.0,3.0065934065934066,34.06,-118.19,1.0
43,4.837,36.0,4.92964824120603,1.0582706766917294,2530.0,2.2462311557788945,37.78,-122.5,2.516
44,3.0,52.0,4.642045454545454,1.0390625,1046.0,2.726384364820847,36.79,-119.71,0.553
45,2.3029,11.0,5.445179584120983,1.00199600798403,1462.0,3.572347266881029,32.73,-117.01,1.083
46,2.85,7.0,4.711111111111111,1.1555555555555554,2340.0,3.688888888888889,34.06,-117.68,1.538
47,6.8279,18.0,6.883966244725738,1.1384928716904277,1410.0,2.596412556053812,37.73,-122.14,4.351
48,5.0151,30.0,5.583636363636363,0.9818181818181818,2319.0,2.7381818181818183,34.12,-118.09,3.547
49,2.067,6.0,5.208860759493671,1.0874125874125875,1508.0,3.6100323624595463,38.48,-121.47,1.063
50,3.115,23.0,4.191176470588236,1.0147058823529411,2795.0,4.198529411764706,34.27,-118.43,1.628
51,5.7287,6.0,7.672727272727273,1.1727272727272726,1776.0,2.845454545454545,33.92,-117.55,3.489
52,3.8125,11.0,5.6875,1.05,297.0,1.8125,37.94,-122.33,1.162
53,2.1836,28.0,5.036511156186613,1.0947075208913648,1213.0,2.481792717086835,37.32,-120.43,0.821
54,3.8472,52.0,5.958762886597938,1.0798722044728437,1045.0,3.0798722044728435,37.95,-122.35,1.148
55,2.3639,52.0,4.463446475195823,1.0762527233115469,1503.0,1.938871473354232,34.08,-117.18,1.491
56,2.2297,28.0,3.3438661710037176,1.0558659217877095,3437.0,2.629955947136564,33.97,-118.03,1.742
57,1.3278,29.0,3.9306049822064058,1.1186239620403322,805.0,2.506524317912218,39.14,-123.2,0.494
58,6.4667,8.0,7.060755336617405,1.030467899891186,7775.0,2.5726795096322244,37.77,-122.45,4.55
59,2.8958,13.0,4.23956043956044,1.032520325203252,1009.0,2.1778461538461538,34.21,-118.44,1.857
60,5.5435,28.0,5.006849315068493,1.0,1057.0,3.0869565217391304,34.05,-118.34,3.381
61,4.3427,45.0,4.831343283582089,1.0522648083623694,588.0,1.7949518072289157,34.05,-118.39,4.301
62,4.6681,18.0,6.0,1.0955882352941178,841.0,3.178877887788779,32.96,-117.12,2.706
63,1.8448,31.0,3.090106007067138,1.0783499005964214,1714.0,3.6801007556675054,34.16,-118.15,1.553
64,4.2566,30.0,5.251173708920188,1.015267175572519,1548.0,2.718204488778055,38.55,-121.79,1.745
65,1.0467,43.0,2.744648318042813,1.169398907103825,1807.0,1.8293413173652693,33.77,-118.19,0.552
66,5.5425,13.0,5.351548269581056,1.0983899821109124,1615.0,2.714425214978204,33.68,-117.79,2.232
67,2.7179,30.0,4.636363636363637,1.0480538202787122,1378.0,3.0709219858156027,32.69,-117.12,1.134
68,4.6957,5.0,5.575438596491228,1.0182186234817814,5656.0,2.9889380530973453,33.13,-117.07,2.32
69,4.2297,16.0,6.831549295774648,1.0893015030946065,2109.0,3.0904255319148937,34.07,-117.7,1.161
70,4.1172,11.0,6.484755244755245,1.051282051282051,3565.0,3.867521367521368,32.86,-116.76,1.674
71,2.9643,25.0,3.4057692307692307,1.0865384615384617,2636.0,1.866157112171838,34.09,-118.36,2.159
72,4.2232,37.0,5.954206602768903,0.988235294117647,1446.0,2.867647058823529,33.92,-118.32,1.958
73,3.0592,23.0,4.7554945054945055,1.1538461538461535,3970.0,2.8351648351648358,34.06,-118.14,1.875
74,2.4412,32.0,4.393728222996516,1.0801393728222997,1019.0,3.728155339805826,33.91,-118.14,1.388
75,3.8214,27.0,5.642276422764228,1.0825082508250825,1456.0,2.447509881422925,37.88,-122.54,3.182
76,4.2333,4.0,6.899598393574297,1.0180722891566265,1542.0,3.107969151670951,36.81,-119.8,1.353
77,6.7248,30.0,6.949090909090909,0.9636363636363636,1140.0,3.373461012311901,34.26,-119.19,3.284
78,1.78,41.0,4.283464566929134,1.0946502057613168,992.0,4.098818474758325,37.96,-121.26,0.609
79,2.7813,39.0,4.017045454545454,1.0454545454545454,1057.0,2.727272727272727,37.98,-121.28,0.78
80,3.7147,16.0,5.427893738140417,1.0504451038575668,2312.0,2.719085060757684,33.7,-117.98,2.107
81,1.4107,21.0,3.744800693240901,1.0939261114589856,1894.0,2.080527086235994,32.75,-117.12,1.234
82,2.7708,31.0,3.1609538002980626,1.0712166172106825,1276.0,5.450261780104712,33.97,-118.23,1.173
83,9.4894,38.0,7.434426229508197,1.0327868852459017,654.0,2.89344262295082,34.07,-118.34,5.00001
84,1.975,24.0,3.9134615384615374,1.1415384615384616,648.0,4.715384615384616,37.39,-122.11,3.5
85,5.7248,40.0,5.652173913043479,1.038647342995169,1217.0,2.412568306010929,37.79,-122.23,3.337
86,2.879,24.0,5.800865800865801,1.0867816091954023,3517.0,3.844106463878327,34.06,-117.97,1.0
87,2.8558,17.0,3.586357039187228,0.9111675126903552,662.0,1.6495726495726497,33.16,-117.08,2.269
88,8.0957,26.0,7.554166666666666,1.0833333333333333,1751.0,3.283333333333333,33.74,-118.02,4.537
89,3.6538,28.0,5.334975369458128,1.0689655172413792,1063.0,3.768270944741533,36.6,-121.84,2.239
90,2.7714,13.0,3.614849187935034,1.0646437994722957,3163.0,2.268745360059391,34.15,-118.25,1.798
91,3.6875,24.0,5.423357664233577,1.0583941605839415,413.0,2.8503649635036497,34.15,-117.27,0.831
92,5.611,32.0,7.104854368932039,1.03954802259887,1033.0,2.8660194174757283,34.2,-118.63,3.119
93,2.3681,33.0,4.514869888475836,1.078740157480315,1620.0,1.8269404932378748,37.77,-122.43,0.888
94,2.3886,18.0,2.629823413996076,1.0499139414802066,1326.0,2.844011142061281,37.35,-121.86,1.158
95,3.0521,17.0,5.586614173228346,1.0551181102362204,1250.0,2.2017167381974247,39.72,-122.13,0.896
96,6.155,21.0,6.261904761904762,0.9154761904761906,1243.0,3.357142857142857,34.24,-118.62,3.328
97,1.8664,35.0,5.068965517241379,1.137931034482759,661.0,2.868965517241376,39.95,-122.17,0.629
98,7.7865,14.0,8.754639175257733,0.9639218978102188,1114.0,2.6236559139784945,37.89,-122.3,3.968
99,5.2571,24.0,6.281399046104972,1.0467289719626167,1816.0,3.413114754098361,34.1,-117.84,2.3
100,6.1601,25.0,6.589686098654709,1.0055248618784531,1053.0,2.4262672811059907,37.31,-122.0,4.447
101,1.1859,49.0,3.6026200873362444,1.0587863463969658,1842.0,1.8367945823927765,38.04,-122.29,1.375
102,7.2096,21.0,7.158371040723982,0.9748031496062992,1463.0,2.6530920060331824,34.11,-118.03,4.795
103,2.3284,17.0,5.9144385026737964,0.972536687631027,1887.0,2.9294809010773752,38.94,-121.08,0.983
104,3.6111,19.0,5.539735099337748,1.0458715596330277,1408.0,3.2864157119476247,34.96,-120.43,1.158
105,2.5947,21.0,4.821316614420063,1.031496062992126,1272.0,3.1149927219796214,38.68,-121.38,0.929
106,1.3444,10.0,4.081632653061225,1.0714285714285714,2860.0,3.071428571428572,34.17,-117.34,0.844
107,4.2411,35.0,5.677067082683307,1.0291828793774318,1241.0,3.463210702341137,33.91,-118.0,1.837
108,4.0911,39.0,5.324324324324325,1.1108108108108108,1501.0,2.053244594594592,33.62,-117.87,5.00001
109,15.0001,17.0,8.642585551330798,1.027739251040222,1674.0,3.31151832460733,34.15,-118.83,5.00001
110,2.087,39.0,3.606761565836299,1.1281138790035588,1347.0,4.005586592178771,32.75,-117.1,1.134
111,3.8095,42.0,4.959581589958159,1.041899441340782,1206.0,2.9145299145299144,32.73,-117.13,1.107
112,3.6745,10.0,4.462068965517242,1.0801724137931037,1399.0,2.0653950953678475,37.34,-122.07,2.81
113,5.5,4.0,7.477064220183486,1.0613718411552346,1769.0,2.6859205776173285,32.79,-116.94,3.404
114,2.148,21.0,4.842201834862386,1.064516129032258,2127.0,3.414746543778802,36.73,-119.76,0.647
115,1.8771,29.0,3.430601092896175,1.087171052631579,703.0,1.7244318181818183,38.44,-122.83,1.558
116,3.0433,27.0,5.665768194070081,1.0388841927303465,1885.0,2.494423791821561,37.48,-120.84,1.697
117,2.4632,15.0,4.276619047619048,1.1341463414634143,1765.0,1.7934990439770555,34.05,-117.73,1.087
118,5.3245,52.0,6.226950354609929,0.9739952718676124,1114.0,2.6335697399527187,37.78,-122.44,4.097
119,3.5744,28.0,5.29038854805726,1.1066398390342052,1439.0,2.5239808153477217,34.43,-119.59,4.513
120,5.2337,31.0,4.964285714285714,1.0885365853658535,871.0,2.189024390243903,34.07,-118.4,5.00001
121,3.4118,28.0,5.7388059701492535,1.1482558139534884,842.0,2.831395348837209,38.46,-122.82,1.717
122,4.1064,17.0,6.208154506437769,1.0642978003384094,1503.0,2.5398671096345518,37.69,-120.91,1.456
123,3.1551,37.0,4.212523719165086,1.0,844.0,2.2477341389728096,34.03,-118.44,4.07
124,4.9716,16.0,6.766871165644171,1.0736196319018405,446.0,2.736196319018405,33.74,-116.97,2.733
125,2.8448,43.0,3.8967971530249113,1.0445682451253482,1291.0,3.835443037974684,34.04,-118.21,1.291
126,4.1333,32.0,5.78425655976676,1.0486725663716814,1783.0,3.204081632653061,34.04,-117.95,1.541
127,3.5461,36.0,5.565040650406504,1.036036036036036,1098.0,3.081081081081081,37.75,-122.14,1.522
128,2.8798,29.0,4.486486486486487,1.0,1634.0,2.168039538714992,34.01,-118.11,1.456
129,3.6485,12.0,3.62425447470646,1.0270034843205575,3049.0,3.592267135325132,37.32,-120.49,1.27
130,4.0114,46.0,5.659025787965616,1.001669051580238,1335.0,3.243027888446215,37.73,-122.39,2.117
131,2.29,19.0,5.330561330561331,1.0909090909090908,1147.0,3.101010101010101,33.8,-116.96,0.964
132,4.3827,45.0,5.959558823529412,1.0551470588235294,1551.0,2.647058823529412,33.79,-118.12,2.373
133,1.1557,17.0,3.8323412698412698,1.0707317073170732,1423.0,4.361038961038961,32.55,-117.06,0.9
134,2.4167,36.0,6.5,1.0612244897959184,952.0,3.8448979591836734,37.4,-121.06,0.702
135,1.7348,28.0,4.174545454545455,1.1045454545454545,1060.0,2.940454545454545,34.17,-118.3,1.256
136,1.939,30.0,3.073529411764706,1.0661764705882353,434.0,1.6988235294117648,33.77,-118.16,1.825
137,2.7206,30.0,3.486666666666667,1.0717592592592593,1369.0,1.8494897959183676,32.76,-117.11,1.403
138,3.0,15.0,5.492063492063492,1.0448717948717947,568.0,2.6342857142857143,36.83,-119.72,0.903
139,7.4574,42.0,6.765573770491803,1.0827586206896551,990.0,2.827586206896552,33.97,-118.39,3.813
140,4.7589,34.0,6.827586206896552,1.0827586206896551,802.0,2.8879310344827585,38.0,-122.02,1.792
141,3.0305,26.0,4.444253859348199,1.154228855721393,4749.0,4.182620502376103,32.58,-117.08,1.26
142,2.2409,46.0,4.947976878612717,1.0260223048327135,753.0,3.169550173010381,37.8,-122.41,0.754
143,5.8735,12.0,6.376899696048632,1.0459081836327346,1986.0,2.500948766603416,33.71,-117.84,2.48
144,2.6226,33.0,3.5306122448979598,1.1693877551020406,3056.0,3.579591836734694,34.09,-117.73,1.738
145,5.1834,15.0,4.927835051546392,0.9540229885057472,2072.0,2.4156976744186047,33.89,-117.52,1.385
146,4.4464,35.0,5.773399014778325,1.0024630541871922,661.0,2.916256157635468,33.91,-118.37,3.5
147,1.9704,15.0,3.853467561521253,1.0684326710816776,467.0,2.145874263261297,32.74,-117.08,1.22
148,2.0745,11.0,4.419700214132762,1.0770465489566614,1600.0,2.7198764160659112,33.23,-117.33,1.213
149,0.9797,49.0,4.346590909090909,1.125,626.0,2.0,37.76,-122.19,0.923
150,5.8252,22.0,7.843416370106762,1.038369304556355,2031.0,2.4844606946983547,32.82,-117.25,5.0
151,1.8798,42.0,4.834008097165992,1.0,553.0,2.3625377643504533,37.98,-121.26,0.602
152,1.6303,12.0,4.816770186335404,1.0,1208.0,4.7514450867052025,35.26,-118.91,0.517
153,2.0469,18.0,4.743362831858407,1.0973154362416109,2307.0,2.890973451327434,33.84,-116.96,0.748
154,3.9306,23.0,4.907407407407407,1.0,1046.0,3.299259259259259,33.72,-117.89,1.898
155,8.7385,36.0,6.2926829268292686,0.9325396825396826,674.0,2.3292682926829267,34.23,-118.32,3.218
156,2.8994,7.0,4.729765013054831,1.039776978652563,3412.0,3.527488855869242,37.83,-121.28,1.125
157,3.4205,33.0,5.836333333333333,0.9745173041825096,2237.0,4.15426997245179,36.6,-119.44,1.406
158,3.3864,38.0,4.953271028037383,1.0075471698113208,996.0,3.571428571428572,34.07,-117.92,1.873
159,2.225,12.0,5.226069246435845,1.066079295154185,2042.0,3.03757225433526,37.92,-121.26,0.788
160,3.125,9.0,4.89957264957265,1.0311653116531163,1116.0,4.270627062706271,34.04,-117.69,1.938
161,3.8631,20.0,4.352494577006508,1.0162412993039442,1777.0,2.312046424090492,33.68,-117.97,2.046
162,5.2079,23.0,5.89317507418332,1.0773006134969323,1147.0,3.331288343558282,34.2,-118.91,1.984
163,1.4267,52.0,4.291845493562231,1.03862660944206,1835.0,2.173345759552656,34.12,-117.31,0.7
164,2.7667,27.0,4.183673469387755,1.026049822064058,1044.0,3.334831460674157,32.75,-117.11,1.188
165,2.7339,8.0,4.393053016453382,1.0524017467248907,3237.0,2.4170403587443947,33.13,-117.06,1.31
166,8.3203,22.0,7.098591549295775,0.9672897196261684,851.0,2.8732394366197185,34.44,-119.67,5.00001
167,3.7969,27.0,5.318781725888324,1.0198487712665407,3152.0,2.9477611940298507,33.83,-117.97,2.724
168,1.7708,52.0,4.84375,1.0,150.0,2.125,38.57,-121.5,0.692
169,4.4423,28.0,5.602179836512262,1.0152905198776758,1421.0,3.223727810650888,32.68,-117.04,1.5
170,1.5872,34.0,3.9454297407912686,1.0155586987270155,2082.0,3.2692861671143354,34.09,-118.18,1.625
171,3.0222,33.0,6.11018711018711,1.2104247104247103,1343.0,2.943729372937293,35.33,-119.12,2.603
172,2.7694,17.0,4.471930906847625,1.096322241681261,3954.0,3.4470377019748653,32.6,-117.05,1.52
173,0.9283,52.0,2.608108108108108,1.108108108108108,994.0,1.4774305555555556,37.77,-122.41,0.875
174,5.2639,16.0,6.089593383873191,1.0022547914317923,2046.0,3.3713527851458887,37.41,-121.87,2.639
175,2.6136,34.0,5.628828828828829,1.096774193548387,835.0,3.8333333333333335,33.78,-118.16,1.42
176,5.5248,19.0,5.959550561797752,1.0280898876404494,874.0,2.764044943820225,37.75,-121.91,3.152
177,3.994,25.0,4.273846153846154,1.0854166666666667,6307.0,3.0215384615384613,34.01,-117.98,2.075
178,2.6368,28.0,3.093264248704663,1.0044150110375276,1674.0,4.112021857923497,37.32,-121.83,1.627
179,6.195,12.0,6.66371158392435,1.078354554358472,2082.0,3.0497553017944536,37.24,-121.9,2.58
180,4.0878,27.0,5.843501326259947,1.0383747178329572,1207.0,3.1671087533156497,34.26,-118.54,2.328
181,3.3882,14.0,5.891774891774892,1.1538461538461535,1131.0,3.066137566137566,33.71,-117.99,2.049
182,2.1865,16.0,5.223880597014926,1.147540983606557,1250.0,2.527611044417767,40.59,-122.41,1.276
183,3.7273,39.0,3.933940774487472,1.056047197640118,1200.0,2.733485193621868,36.6,-121.88,3.304
184,5.32,25.0,6.572944297082228,1.025078369905956,3043.0,2.9223968565815324,38.7,-121.09,2.216
185,2.6583,37.0,3.3505747126436782,1.0517241379310345,2184.0,5.006042296072508,33.8,-118.19,1.518
186,4.9375,19.0,6.2896174863387975,1.026058631921824,2474.0,3.251028806584362,34.27,-119.17,2.413
187,6.9324,17.0,7.315359477124183,0.9477124183006536,976.0,2.578034682080925,37.25,-121.98,5.00001
188,3.9032,25.0,4.933949843262412,1.0673712021136064,1872.0,2.656036446469248,34.24,-118.54,2.155
189,2.8393,37.0,4.433155080213904,1.0479616306954436,1546.0,3.0316742081447963,37.94,-122.35,1.563
190,4.8359,26.0,6.104536489151874,1.1004784688995215,1264.0,2.7337367624810454,34.23,-118.5,2.318
191,3.2308,47.0,4.57643410852713,1.012035010940919,1213.0,2.407678244972577,38.12,-122.26,1.487
192,1.9386,29.0,3.683962264150944,1.0816326530612246,1350.0,3.836206896551724,34.01,-118.32,1.25
193,12.8763,35.0,7.299528301886792,0.9754901960784312,1272.0,2.8337236514602124,37.43,-122.2,5.00001
194,2.5156,14.0,5.375757575757576,1.0787878787878789,891.0,3.6666666666666665,34.45,-119.45,0.818
195,3.6429,44.0,4.63943161634103,1.0724043715846994,1823.0,2.240437158469945,37.76,-122.16,1.742
196,3.725,15.0,5.412935323383085,1.067251461988304,3074.0,3.1145251396648046,34.09,-118.0,1.857
197,1.7427,28.0,2.1691842900302114,1.044984198645598,1690.0,3.9763313609467454,34.09,-118.29,1.25
198,1.7176,46.0,3.0,1.0,1980.0,4.0,33.96,-118.21,1.405
199,4.7099,18.0,5.727699530516432,1.0242875157633915,3085.0,2.257861635220126,38.41,-122.31,3.097
200,4.0077,30.0,5.328895184135977,1.1017369727047146,2082.0,2.3622828784119108,37.95,-122.29,2.386
201,5.0796,37.0,5.722154222766218,0.9811912225705328,1431.0,2.495049504950495,34.21,-118.61,2.827
202,2.8125,44.0,3.5120714285714287,1.0825082508250825,1000.0,3.2145214521452146,37.7,-122.12,1.564
203,2.8299,26.0,3.4766355140186915,1.083601286173633,1799.0,1.6321608040201006,34.18,-118.49,2.75
204,3.1603,35.0,4.310794780545635,1.1185682326621924,1508.0,2.428380187416332,34.7,-118.16,1.432
205,5.5,17.0,5.193661971830986,1.0518731988472625,2115.0,2.6666666666666665,33.74,-117.89,2.653
206,1.5109,33.0,4.376623376623376,1.0086580086580086,751.0,2.8496503496503496,36.64,-119.82,0.571
207,3.6133,35.0,5.933911159263272,1.0165184243964422,1605.0,2.434466019417476,34.96,-120.43,1.566
208,3.5714,18.0,5.488958990536277,0.9880582524271844,1787.0,3.9470365699873895,33.93,-117.46,1.392
209,1.9044,39.0,3.2230971128608923,1.038860103626943,2694.0,3.390887290167865,34.1,-118.21,1.854
210,3.5,25.0,4.695652173913044,1.0043478260869565,830.0,2.9565217391304346,33.96,-118.12,1.932
211,12.2138,2.0,9.860169491525424,1.1144067796610169,3082.0,3.809322033898305,33.58,-117.36,5.00001
212,4.3472,17.0,6.1172638436482085,1.0751708428246014,1479.0,3.278501628664495,34.14,-117.84,2.269
213,2.8097,26.0,4.599337748344371,1.0827586206896551,2805.0,3.619205298013245,34.08,-118.21,1.408
214,3.7049,26.0,4.348360655737705,1.0594262295081966,1578.0,3.2336065573770494,33.93,-118.04,1.585
215,4.2386,42.0,4.5,1.0445205479452055,1060.0,2.098765432098765,37.31,-121.95,2.841
216,1.7062,39.0,3.4678030303030303,1.035925420645748,2015.0,3.851190476190476,33.9,-118.27,1.015
217,0.8738,17.0,3.98159509202454,1.052064631956912,1447.0,2.027944111776447,33.77,-118.18,1.375
218,3.0,20.0,3.6907894736842106,1.0816326530612246,562.0,2.5816326530612246,32.82,-116.95,1.58
219,3.0877,30.0,4.646118721461187,1.0743493975903613,764.0,3.0383141762452106,34.1,-117.97,1.362
220,2.8125,14.0,4.8478260869565215,0.9904153354632588,900.0,2.279823269513991,32.78,-116.94,1.608
221,2.3547,15.0,5.24223602484472,1.049792531120332,981.0,3.36744966442953,40.26,-122.26,1.053
222,3.2642,34.0,5.490066225165563,1.0718816067653276,1178.0,2.463203463203463,36.79,-119.77,0.939
223,3.5878,27.0,3.6649214659685865,1.0717017208413002,1647.0,1.6368715083798884,34.17,-118.26,2.905
224,3.1739,19.0,5.740869565217391,1.0543478260869563,1172.0,2.908695652173913,34.13,-117.34,1.042
225,3.375,20.0,3.9615384615384617,1.037037037037037,1849.0,2.286496350364964,37.77,-122.27,3.372
226,3.7167,14.0,5.251271617497457,1.046462513199577,3571.0,3.1251319911544115,38.03,-121.55,0.996
227,10.3613,29.0,8.118279569892474,1.014388489208633,1571.0,3.24468085106383,37.86,-122.01,5.00001
228,2.1538,34.0,4.827922077922077,1.0743243243243243,1543.0,2.85989010989011,34.2,-117.27,0.875
229,3.7178,25.0,5.786796536796537,1.0471698113207548,2568.0,2.7226415094339624,38.34,-122.45,1.683
230,3.6583,31.0,5.510729613733906,1.0,537.0,2.605055292259084,38.5,-121.52,1.293
231,6.3523,18.0,6.596685082872928,1.0390835579514826,4438.0,3.2790055248618786,37.23,-121.81,2.674
232,2.9625,34.0,4.362916006339145,1.0380184331797235,1726.0,3.794478527607362,34.18,-118.43,2.242
233,2.1635,22.0,4.787234042553192,1.039301310043668,1007.0,2.5059625212947187,38.66,-121.31,0.875
234,2.9952,18.0,4.335740072202166,1.0029498525073746,1036.0,3.5091743119266057,33.96,-118.2,1.514
235,2.7059,19.0,4.386243386243386,1.1302211302211302,2245.0,2.7642276422764227,36.98,-121.84,1.55
236,1.8897,33.0,4.518615384615385,1.056379821958457,2975.0,4.161538461538462,33.96,-118.24,0.997
237,8.5153,28.0,7.386160714285714,1.0911458333333333,599.0,2.559061338289963,37.36,-122.18,3.8
238,3.7708,2.0,6.222222222222222,1.1333333333333333,826.0,2.988888888888889,33.98,-117.35,1.3
239,3.6736,33.0,4.895074946466809,1.0536193029490617,2343.0,3.522565320665083,34.08,-118.08,2.217
240,2.8036,26.0,5.25503355704697,1.0738255033557047,754.0,3.264487369985141,34.12,-117.88,1.794
241,3.016,17.0,3.6723768736616704,1.050647820965842,1818.0,1.6295641931684337,33.02,-117.06,1.528
242,2.4605,24.0,5.415545590433482,1.0497335701598578,974.0,2.3989266547406083,38.48,-121.46,0.83
243,1.5814,46.0,1.6255924170616114,1.0544135429262391,2453.0,2.2624020887728458,34.06,-118.27,1.375
244,7.3081,26.0,6.802554081588053,1.069364161849711,2511.0,2.596412556053812,33.97,-118.54,5.00001
245,1.9189,32.0,3.21160409556314,1.147299509001637,2389.0,3.4809885931558937,33.99,-118.25,1.083
246,1.8472,25.0,4.835443037974684,1.3397683397683398,1054.0,2.69873417721519,33.93,-116.2,0.612
247,6.7718,36.0,6.257396449704142,1.0203045685279188,857.0,2.4384133611691023,37.36,-122.09,3.06
248,3.4287,25.0,5.323529411764706,1.0661764705882353,2330.0,3.625,33.85,-117.97,1.817
249,2.9531,21.0,5.436813186813187,1.1083916083916083,1782.0,3.0982905982905984,34.08,-117.42,1.163
250,7.898,10.0,6.602316602316602,1.0582750582750582,1348.0,2.038555691554468,37.46,-121.87,4.65
251,4.5074,10.0,6.053072625698324,1.0797720797720798,1132.0,2.687074829931973,39.11,-121.62,1.609
252,3.7167,7.0,5.7695852534562215,1.018978102189781,3538.0,3.734256926952141,34.08,-117.46,1.814
253,5.0779,15.0,6.454682713449512,1.0831509846827134,1558.0,3.0878243512974053,32.98,-117.13,2.083
254,3.8,16.0,4.780856423173804,0.9868565169769988,494.0,2.8155339805825244,33.8,-117.86,1.833
255,10.2264,50.0,7.873015873015873,1.1111111111111112,1188.0,2.7777777777777777,34.18,-118.28,5.00001
256,2.0272,20.0,4.08724907063197,1.077760497667185,1194.0,2.111587982832618,33.74,-116.96,0.901
257,3.3553,24.0,5.433628318584071,0.9859154929577464,1753.0,3.650385604113111,34.08,-117.36,0.944
258,3.015,17.0,6.4734513274336285,1.1194690265486726,1344.0,2.202816901408451,33.2,-117.23,1.554
